Apoyos,Votos,Comuna,Year,Categoria,Viabilidad
0,0,Comuna 3,2017',Innovacion,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Inviable
0,0,Comuna 14,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 1,2017',Cultura,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 2,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 4,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Sin decidir
0,0,Comuna 8,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 9,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Innovacion,Sin decidir
0,0,Comuna 11,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Mascotas,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Mascotas,Sin decidir
0,0,Comuna 1,2017',Arte urbano,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 4,2017',Plazas y parques,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 7,2017',Innovacion,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Educacion,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 4,2017',Cultura,Sin decidir
0,0,Comuna 3,2017',Reciclado,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Innovacion,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Inviable
0,0,Comuna 12,2017',Innovacion,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Innovacion,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Cultura,Sin decidir
0,0,Comuna 1,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Cultura,Sin decidir
0,0,Comuna 1,2017',Plazas y parques,Inviable
0,0,Comuna 12,2017',Cultura,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Reciclado,Sin decidir
0,0,Comuna 2,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Reciclado,Sin decidir
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Inviable
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 5,2017',Innovacion,Inviable
0,0,Comuna 7,2017',Cultura,Sin decidir
0,0,Comuna 1,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Innovacion,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Inviable
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Reciclado,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Cultura,Sin decidir
0,0,Comuna 4,2017',Plazas y parques,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Innovacion,Sin decidir
0,0,Comuna 12,2017',Educacion,Sin decidir
0,0,Comuna 7,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 7,2017',Innovacion,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Cultura,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Plazas y parques,Sin decidir
0,0,Comuna 2,2017',Reciclado,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Sin decidir
0,0,Comuna 7,2017',Reciclado,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Reciclado,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Inviable
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Inviable
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Reciclado,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 11,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 7,2017',Cultura,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 15,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Cultura,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Cultura,Sin decidir
0,0,Comuna 10,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Cultura,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Reciclado,Sin decidir
0,0,Comuna 2,2017',Mascotas,Sin decidir
0,0,Comuna 8,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 7,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Mascotas,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Inviable
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Innovacion,Inviable
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Inviable
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 3,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 4,2017',Plazas y parques,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Cultura,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Innovacion,Sin decidir
0,0,Comuna 9,2017',Mascotas,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Innovacion,Sin decidir
0,0,Comuna 4,2017',Innovacion,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 3,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Cultura,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Innovacion,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Arte urbano,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 8,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Reciclado,Sin decidir
0,0,Comuna 6,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 14,2017',Mascotas,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 14,2017',Arte urbano,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Cultura,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Mascotas,Sin decidir
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Innovacion,Sin decidir
0,0,Comuna 13,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Cultura,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Plazas y parques,Sin decidir
0,0,Comuna 2,2017',Reciclado,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 3,2017',Innovacion,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Sin decidir
0,0,Comuna 8,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Arte urbano,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 6,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 7,2017',Educacion,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Sin decidir
0,0,Comuna 13,2017',Mascotas,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 4,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 12,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 5,2017',Innovacion,Sin decidir
0,0,Comuna 12,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 5,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Plazas y parques,Inviable
0,0,Comuna 5,2017',Plazas y parques,Sin decidir
0,0,Comuna 4,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Ferias y Mercados,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 4,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Inviable
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 9,2017',Movilidad y transito,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Innovacion,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 15,2017',Plazas y parques,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 1,2017',Cultura,Sin decidir
0,0,Comuna 14,2017',Plazas y parques,Sin decidir
0,0,Comuna 2,2017',Innovacion,Sin decidir
0,0,Comuna 3,2017',Movilidad y transito,Sin decidir
0,0,Comuna 4,2017',Arte urbano,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Plazas y parques,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Plazas y parques,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Movilidad y transito,Sin decidir
0,0,Comuna 11,2017',Plazas y parques,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Reciclado,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 1,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 3,2017',Innovacion,Sin decidir
0,0,Comuna 4,2017',Plazas y parques,Sin decidir
0,0,Comuna 5,2017',Movilidad y transito,Sin decidir
0,0,Comuna 6,2017',Movilidad y transito,Sin decidir
0,0,Comuna 7,2017',Reciclado,Sin decidir
0,0,Comuna 8,2017',Reciclado,Sin decidir
0,0,Comuna 9,2017',Plazas y parques,Sin decidir
0,0,Comuna 10,2017',Plazas y parques,Sin decidir
0,0,Comuna 11,2017',Plazas y parques,Sin decidir
0,0,Comuna 12,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 13,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 14,2017',Reciclado,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Deportes y calidad de vida,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
0,0,Comuna 2,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Innovacion,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 13,2017',Movilidad y transito,Sin decidir
0,0,Comuna 8,2017',Movilidad y transito,Sin decidir
0,0,Comuna 14,2017',Movilidad y transito,Sin decidir
0,0,Comuna 12,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Movilidad y transito,Sin decidir
0,0,Comuna 15,2017',Reciclado,Sin decidir
0,0,Comuna 7,2017',Movilidad y transito,Sin decidir
